dataset,missing_rate,completion,metric,runs,mean,std
TaxiBJ P3,0.7,no_completion,fine_MAE,3,78.569734,0.256342
TaxiBJ P3,0.7,no_completion,fine_RMSE,3,130.763585,0.612429
TaxiBJ P4,0.0,adaptive,completion_MSE,3,0.000000,0.000000
TaxiBJ P4,0.0,adaptive,fine_MAE,3,36.284176,0.055050
TaxiBJ P4,0.0,adaptive,fine_RMSE,3,68.764285,0.058955
TaxiBJ P4,0.0,no_completion,completion_MSE,3,0.000000,0.000000
TaxiBJ P4,0.0,no_completion,fine_MAE,3,36.284176,0.055050
TaxiBJ P4,0.0,no_completion,fine_RMSE,3,68.764285,0.058955
TaxiBJ P4,0.1,adaptive,completion_MSE,3,107004.489583,5726.055215
TaxiBJ P4,0.1,adaptive,fine_MAE,3,36.485496,0.051515
TaxiBJ P4,0.1,adaptive,fine_RMSE,3,68.903350,0.042944
TaxiBJ P4,0.1,no_completion,completion_MSE,3,3814201.166667,31145.219537
TaxiBJ P4,0.1,no_completion,fine_MAE,3,41.035065,0.279019
TaxiBJ P4,0.1,no_completion,fine_RMSE,3,73.230610,0.703059
TaxiBJ P4,0.3,adaptive,completion_MSE,3,169827.739583,11011.883492
TaxiBJ P4,0.3,adaptive,fine_MAE,3,37.125925,0.083257
TaxiBJ P4,0.3,adaptive,fine_RMSE,3,69.306531,0.067926
TaxiBJ P4,0.3,no_completion,completion_MSE,3,3823303.916667,20151.015263
TaxiBJ P4,0.3,no_completion,fine_MAE,3,49.923111,2.263843
TaxiBJ P4,0.3,no_completion,fine_RMSE,3,85.856767,4.616189
TaxiBJ P4,0.5,adaptive,completion_MSE,3,334405.833333,45359.289769
TaxiBJ P4,0.5,adaptive,fine_MAE,3,38.446183,0.139796
TaxiBJ P4,0.5,adaptive,fine_RMSE,3,70.236257,0.062904
TaxiBJ P4,0.5,no_completion,completion_MSE,3,3828470.500000,15990.375185
TaxiBJ P4,0.5,no_completion,fine_MAE,3,57.576431,3.312250
TaxiBJ P4,0.5,no_completion,fine_RMSE,3,98.327387,6.410007
TaxiBJ P4,0.7,adaptive,completion_MSE,3,1330754.687500,1131685.541510
TaxiBJ P4,0.7,adaptive,fine_MAE,3,41.458126,0.333726
TaxiBJ P4,0.7,adaptive,fine_RMSE,3,72.711390,0.107468
TaxiBJ P4,0.7,no_completion,completion_MSE,3,3827568.083333,3966.796955
TaxiBJ P4,0.7,no_completion,fine_MAE,3,64.674741,3.212346
TaxiBJ P4,0.7,no_completion,fine_RMSE,3,110.306984,5.939515
BikeNYC,0.0,adaptive,completion_MSE,3,0.000000,0.000000
BikeNYC,0.0,adaptive,fine_MAE,3,2.618882,0.039808
BikeNYC,0.0,adaptive,fine_RMSE,3,5.389041,0.022314
BikeNYC,0.0,no_completion,completion_MSE,3,0.000000,0.000000
BikeNYC,0.0,no_completion,fine_MAE,3,2.618882,0.039808
BikeNYC,0.0,no_completion,fine_RMSE,3,5.389041,0.022314
BikeNYC,0.1,adaptive,completion_MSE,3,1534.890340,138.097562
BikeNYC,0.1,adaptive,fine_MAE,3,2.944349,0.033295
BikeNYC,0.1,adaptive,fine_RMSE,3,6.196657,0.081089
BikeNYC,0.1,no_completion,completion_MSE,3,6475.967936,339.678541
BikeNYC,0.1,no_completion,fine_MAE,3,3.892049,0.044569
BikeNYC,0.1,no_completion,fine_RMSE,3,8.844413,0.135445
BikeNYC,0.3,adaptive,completion_MSE,3,2369.944987,195.736815
BikeNYC,0.3,adaptive,fine_MAE,3,3.852170,0.012153
BikeNYC,0.3,adaptive,fine_RMSE,3,8.348853,0.190347
BikeNYC,0.3,no_completion,completion_MSE,3,6278.318197,52.050183
BikeNYC,0.3,no_completion,fine_MAE,3,5.389773,0.060294
BikeNYC,0.3,no_completion,fine_RMSE,3,12.392253,0.108282
BikeNYC,0.5,adaptive,completion_MSE,3,2648.079834,21.304603
BikeNYC,0.5,adaptive,fine_MAE,3,5.707369,0.030894
BikeNYC,0.5,adaptive,fine_RMSE,3,11.683212,0.136515
BikeNYC,0.5,no_completion,completion_MSE,3,6266.745117,83.045461
BikeNYC,0.5,no_completion,fine_MAE,3,6.441985,0.093098
BikeNYC,0.5,no_completion,fine_RMSE,3,14.724182,0.277844
BikeNYC,0.7,adaptive,completion_MSE,3,2667.110677,26.936455
BikeNYC,0.7,adaptive,fine_MAE,3,6.460042,0.087984
BikeNYC,0.7,adaptive,fine_RMSE,3,13.055830,0.044064
BikeNYC,0.7,no_completion,completion_MSE,3,6257.405599,57.696655
BikeNYC,0.7,no_completion,fine_MAE,3,7.398458,0.083282
BikeNYC,0.7,no_completion,fine_RMSE,3,16.851534,0.287221
