dataset,method,seed,artifact,fupsi_sha256,baseline_sha256,exact_match
TaxiBJ P1,FODE,2025,true_fine,2b25c37dfd6f25946944cc4d778b5eba42b81ca3fa661fb347667639c59e3bb2,2b25c37dfd6f25946944cc4d778b5eba42b81ca3fa661fb347667639c59e3bb2,true
TaxiBJ P1,FODE,2026,test_coarse,cb95570c316783fd436828a0daa248abee28ce2bcaec6b2eafa0d379a4c357ee,cb95570c316783fd436828a0daa248abee28ce2bcaec6b2eafa0d379a4c357ee,true
TaxiBJ P1,FODE,2026,true_coarse,4c835e73b1b98deb5b9fc1495a6459acc00905c13a10eebc0fa251c049916575,4c835e73b1b98deb5b9fc1495a6459acc00905c13a10eebc0fa251c049916575,true
TaxiBJ P1,FODE,2026,true_fine,2b25c37dfd6f25946944cc4d778b5eba42b81ca3fa661fb347667639c59e3bb2,2b25c37dfd6f25946944cc4d778b5eba42b81ca3fa661fb347667639c59e3bb2,true
TaxiBJ P2,FODE,2024,test_coarse,ab48ad09ccab5dfdc67f2ad68cad649ab694764d8f6a7b13ea9732caebf33c96,ab48ad09ccab5dfdc67f2ad68cad649ab694764d8f6a7b13ea9732caebf33c96,true
TaxiBJ P2,FODE,2024,true_coarse,cf0ce195e2c4d7b0d16bcba2769359fb2b9bcfc7867e398175a29e88a4f03812,cf0ce195e2c4d7b0d16bcba2769359fb2b9bcfc7867e398175a29e88a4f03812,true
TaxiBJ P2,FODE,2024,true_fine,ed81758a9e7e195124764ec26ba9bcc2f880c14a4f31dfd8a9b2ade23cb878ae,ed81758a9e7e195124764ec26ba9bcc2f880c14a4f31dfd8a9b2ade23cb878ae,true
TaxiBJ P2,FODE,2025,test_coarse,c1e40a6118008063510d4a00bce0bb43f23182318dce080ae76af3ff07368117,c1e40a6118008063510d4a00bce0bb43f23182318dce080ae76af3ff07368117,true
TaxiBJ P2,FODE,2025,true_coarse,cf0ce195e2c4d7b0d16bcba2769359fb2b9bcfc7867e398175a29e88a4f03812,cf0ce195e2c4d7b0d16bcba2769359fb2b9bcfc7867e398175a29e88a4f03812,true
TaxiBJ P2,FODE,2025,true_fine,ed81758a9e7e195124764ec26ba9bcc2f880c14a4f31dfd8a9b2ade23cb878ae,ed81758a9e7e195124764ec26ba9bcc2f880c14a4f31dfd8a9b2ade23cb878ae,true
TaxiBJ P2,FODE,2026,test_coarse,574655222f9b0fd1a8e4b97e94204528aa9c844ea17dcfaf38e93bce786e4d1b,574655222f9b0fd1a8e4b97e94204528aa9c844ea17dcfaf38e93bce786e4d1b,true
TaxiBJ P2,FODE,2026,true_coarse,cf0ce195e2c4d7b0d16bcba2769359fb2b9bcfc7867e398175a29e88a4f03812,cf0ce195e2c4d7b0d16bcba2769359fb2b9bcfc7867e398175a29e88a4f03812,true
TaxiBJ P2,FODE,2026,true_fine,ed81758a9e7e195124764ec26ba9bcc2f880c14a4f31dfd8a9b2ade23cb878ae,ed81758a9e7e195124764ec26ba9bcc2f880c14a4f31dfd8a9b2ade23cb878ae,true
TaxiBJ P3,FODE,2024,test_coarse,ce1bbe37896b7302f71c852464ee8d3deb237eb8d21f7b49d59cfa2227c01711,ce1bbe37896b7302f71c852464ee8d3deb237eb8d21f7b49d59cfa2227c01711,true
TaxiBJ P3,FODE,2024,true_coarse,4a8fcc7f027e31abff9dcc0eb495cbe5e7da81edc324447f4a042b787253277e,4a8fcc7f027e31abff9dcc0eb495cbe5e7da81edc324447f4a042b787253277e,true
TaxiBJ P3,FODE,2024,true_fine,5814a8cb19124e902dd337b542ea5a518f022f357ee209e9611d80489e78c1c2,5814a8cb19124e902dd337b542ea5a518f022f357ee209e9611d80489e78c1c2,true
TaxiBJ P3,FODE,2025,test_coarse,1d809bd2d4d99ec4a84d9e4515cd3180126043d3dce51d3c7d8ebda6d4a9d43b,1d809bd2d4d99ec4a84d9e4515cd3180126043d3dce51d3c7d8ebda6d4a9d43b,true
TaxiBJ P3,FODE,2025,true_coarse,4a8fcc7f027e31abff9dcc0eb495cbe5e7da81edc324447f4a042b787253277e,4a8fcc7f027e31abff9dcc0eb495cbe5e7da81edc324447f4a042b787253277e,true
TaxiBJ P3,FODE,2025,true_fine,5814a8cb19124e902dd337b542ea5a518f022f357ee209e9611d80489e78c1c2,5814a8cb19124e902dd337b542ea5a518f022f357ee209e9611d80489e78c1c2,true
TaxiBJ P3,FODE,2026,test_coarse,d8423bcd46efa3f1ba3f63623ea561b0cb040e0c49880bc427ad4d146f2490af,d8423bcd46efa3f1ba3f63623ea561b0cb040e0c49880bc427ad4d146f2490af,true
TaxiBJ P3,FODE,2026,true_coarse,4a8fcc7f027e31abff9dcc0eb495cbe5e7da81edc324447f4a042b787253277e,4a8fcc7f027e31abff9dcc0eb495cbe5e7da81edc324447f4a042b787253277e,true
TaxiBJ P3,FODE,2026,true_fine,5814a8cb19124e902dd337b542ea5a518f022f357ee209e9611d80489e78c1c2,5814a8cb19124e902dd337b542ea5a518f022f357ee209e9611d80489e78c1c2,true
TaxiBJ P4,FODE,2024,test_coarse,cf0f507dddb6fa9361e439510124688dfacd3a4202243827c4a61eefae34eacc,cf0f507dddb6fa9361e439510124688dfacd3a4202243827c4a61eefae34eacc,true
TaxiBJ P4,FODE,2024,true_coarse,f09feefd91e728223cd68b48e15d2b353fcff1c03fccd58b3b0a79b9a9d65a77,f09feefd91e728223cd68b48e15d2b353fcff1c03fccd58b3b0a79b9a9d65a77,true
TaxiBJ P4,FODE,2024,true_fine,7571b9d5feaf263db0a1eff2fab8bd997f61f8f402d3c0eb39e315c71ad0cae0,7571b9d5feaf263db0a1eff2fab8bd997f61f8f402d3c0eb39e315c71ad0cae0,true
TaxiBJ P4,FODE,2025,test_coarse,d0fbaccbe337a72dc36f4ab495ab6de3a062a9fe90cd31b58b2198451d7fa947,d0fbaccbe337a72dc36f4ab495ab6de3a062a9fe90cd31b58b2198451d7fa947,true
TaxiBJ P4,FODE,2025,true_coarse,f09feefd91e728223cd68b48e15d2b353fcff1c03fccd58b3b0a79b9a9d65a77,f09feefd91e728223cd68b48e15d2b353fcff1c03fccd58b3b0a79b9a9d65a77,true
TaxiBJ P4,FODE,2025,true_fine,7571b9d5feaf263db0a1eff2fab8bd997f61f8f402d3c0eb39e315c71ad0cae0,7571b9d5feaf263db0a1eff2fab8bd997f61f8f402d3c0eb39e315c71ad0cae0,true
TaxiBJ P4,FODE,2026,test_coarse,1e467327d19bd19a2b02e8ee8b8f330c3f0657bdca449c3c390a2f6944deda1a,1e467327d19bd19a2b02e8ee8b8f330c3f0657bdca449c3c390a2f6944deda1a,true
TaxiBJ P4,FODE,2026,true_coarse,f09feefd91e728223cd68b48e15d2b353fcff1c03fccd58b3b0a79b9a9d65a77,f09feefd91e728223cd68b48e15d2b353fcff1c03fccd58b3b0a79b9a9d65a77,true
TaxiBJ P4,FODE,2026,true_fine,7571b9d5feaf263db0a1eff2fab8bd997f61f8f402d3c0eb39e315c71ad0cae0,7571b9d5feaf263db0a1eff2fab8bd997f61f8f402d3c0eb39e315c71ad0cae0,true
BikeNYC,UrbanFM,2024,test_coarse,a4d20f164e542775b7ef50905415d75a37acfc54154d41212f8151efda58313d,a4d20f164e542775b7ef50905415d75a37acfc54154d41212f8151efda58313d,true
BikeNYC,UrbanFM,2024,true_coarse,cc0b7b76fe9555bef3ddc219005ae4aab2c6227b1d45e51362caa22af43cb0f0,cc0b7b76fe9555bef3ddc219005ae4aab2c6227b1d45e51362caa22af43cb0f0,true
BikeNYC,UrbanFM,2024,true_fine,2524976293ef414bfee1b9a1a321b2a3c59ad289f333ea17d2edeaa7f22cce3f,2524976293ef414bfee1b9a1a321b2a3c59ad289f333ea17d2edeaa7f22cce3f,true
BikeNYC,UrbanFM,2025,test_coarse,f1c0a872b2f13130988648faeca4b4a4476097e3c57ad7163edbd66d6e3d9611,f1c0a872b2f13130988648faeca4b4a4476097e3c57ad7163edbd66d6e3d9611,true
BikeNYC,UrbanFM,2025,true_coarse,cc0b7b76fe9555bef3ddc219005ae4aab2c6227b1d45e51362caa22af43cb0f0,cc0b7b76fe9555bef3ddc219005ae4aab2c6227b1d45e51362caa22af43cb0f0,true
BikeNYC,UrbanFM,2025,true_fine,2524976293ef414bfee1b9a1a321b2a3c59ad289f333ea17d2edeaa7f22cce3f,2524976293ef414bfee1b9a1a321b2a3c59ad289f333ea17d2edeaa7f22cce3f,true
BikeNYC,UrbanFM,2026,test_coarse,98cb59fa12640eeac7e7c0065d7b02406ee8727464f8e4d9758c20c46a99e46b,98cb59fa12640eeac7e7c0065d7b02406ee8727464f8e4d9758c20c46a99e46b,true
BikeNYC,UrbanFM,2026,true_coarse,cc0b7b76fe9555bef3ddc219005ae4aab2c6227b1d45e51362caa22af43cb0f0,cc0b7b76fe9555bef3ddc219005ae4aab2c6227b1d45e51362caa22af43cb0f0,true
BikeNYC,UrbanFM,2026,true_fine,2524976293ef414bfee1b9a1a321b2a3c59ad289f333ea17d2edeaa7f22cce3f,2524976293ef414bfee1b9a1a321b2a3c59ad289f333ea17d2edeaa7f22cce3f,true
TaxiBJ P1,UrbanFM,2024,test_coarse,4785fc457233a1970ab505d9e002f3eb9c5c30b4ea86d66a3873a362ea3218d1,4785fc457233a1970ab505d9e002f3eb9c5c30b4ea86d66a3873a362ea3218d1,true
TaxiBJ P1,UrbanFM,2024,true_coarse,4c835e73b1b98deb5b9fc1495a6459acc00905c13a10eebc0fa251c049916575,4c835e73b1b98deb5b9fc1495a6459acc00905c13a10eebc0fa251c049916575,true
TaxiBJ P1,UrbanFM,2024,true_fine,2b25c37dfd6f25946944cc4d778b5eba42b81ca3fa661fb347667639c59e3bb2,2b25c37dfd6f25946944cc4d778b5eba42b81ca3fa661fb347667639c59e3bb2,true
TaxiBJ P1,UrbanFM,2025,test_coarse,4220ed7090dca5e90f1d96ae41e06d14da5834b0a75dce51029cd87593f2cb36,4220ed7090dca5e90f1d96ae41e06d14da5834b0a75dce51029cd87593f2cb36,true
TaxiBJ P1,UrbanFM,2025,true_coarse,4c835e73b1b98deb5b9fc1495a6459acc00905c13a10eebc0fa251c049916575,4c835e73b1b98deb5b9fc1495a6459acc00905c13a10eebc0fa251c049916575,true
TaxiBJ P1,UrbanFM,2025,true_fine,2b25c37dfd6f25946944cc4d778b5eba42b81ca3fa661fb347667639c59e3bb2,2b25c37dfd6f25946944cc4d778b5eba42b81ca3fa661fb347667639c59e3bb2,true
TaxiBJ P1,UrbanFM,2026,test_coarse,cb95570c316783fd436828a0daa248abee28ce2bcaec6b2eafa0d379a4c357ee,cb95570c316783fd436828a0daa248abee28ce2bcaec6b2eafa0d379a4c357ee,true
TaxiBJ P1,UrbanFM,2026,true_coarse,4c835e73b1b98deb5b9fc1495a6459acc00905c13a10eebc0fa251c049916575,4c835e73b1b98deb5b9fc1495a6459acc00905c13a10eebc0fa251c049916575,true
TaxiBJ P1,UrbanFM,2026,true_fine,2b25c37dfd6f25946944cc4d778b5eba42b81ca3fa661fb347667639c59e3bb2,2b25c37dfd6f25946944cc4d778b5eba42b81ca3fa661fb347667639c59e3bb2,true
TaxiBJ P2,UrbanFM,2024,test_coarse,ab48ad09ccab5dfdc67f2ad68cad649ab694764d8f6a7b13ea9732caebf33c96,ab48ad09ccab5dfdc67f2ad68cad649ab694764d8f6a7b13ea9732caebf33c96,true
TaxiBJ P2,UrbanFM,2024,true_coarse,cf0ce195e2c4d7b0d16bcba2769359fb2b9bcfc7867e398175a29e88a4f03812,cf0ce195e2c4d7b0d16bcba2769359fb2b9bcfc7867e398175a29e88a4f03812,true
TaxiBJ P2,UrbanFM,2024,true_fine,ed81758a9e7e195124764ec26ba9bcc2f880c14a4f31dfd8a9b2ade23cb878ae,ed81758a9e7e195124764ec26ba9bcc2f880c14a4f31dfd8a9b2ade23cb878ae,true
TaxiBJ P2,UrbanFM,2025,test_coarse,c1e40a6118008063510d4a00bce0bb43f23182318dce080ae76af3ff07368117,c1e40a6118008063510d4a00bce0bb43f23182318dce080ae76af3ff07368117,true
TaxiBJ P2,UrbanFM,2025,true_coarse,cf0ce195e2c4d7b0d16bcba2769359fb2b9bcfc7867e398175a29e88a4f03812,cf0ce195e2c4d7b0d16bcba2769359fb2b9bcfc7867e398175a29e88a4f03812,true
TaxiBJ P2,UrbanFM,2025,true_fine,ed81758a9e7e195124764ec26ba9bcc2f880c14a4f31dfd8a9b2ade23cb878ae,ed81758a9e7e195124764ec26ba9bcc2f880c14a4f31dfd8a9b2ade23cb878ae,true
TaxiBJ P2,UrbanFM,2026,test_coarse,574655222f9b0fd1a8e4b97e94204528aa9c844ea17dcfaf38e93bce786e4d1b,574655222f9b0fd1a8e4b97e94204528aa9c844ea17dcfaf38e93bce786e4d1b,true
TaxiBJ P2,UrbanFM,2026,true_coarse,cf0ce195e2c4d7b0d16bcba2769359fb2b9bcfc7867e398175a29e88a4f03812,cf0ce195e2c4d7b0d16bcba2769359fb2b9bcfc7867e398175a29e88a4f03812,true
TaxiBJ P2,UrbanFM,2026,true_fine,ed81758a9e7e195124764ec26ba9bcc2f880c14a4f31dfd8a9b2ade23cb878ae,ed81758a9e7e195124764ec26ba9bcc2f880c14a4f31dfd8a9b2ade23cb878ae,true
TaxiBJ P3,UrbanFM,2024,test_coarse,ce1bbe37896b7302f71c852464ee8d3deb237eb8d21f7b49d59cfa2227c01711,ce1bbe37896b7302f71c852464ee8d3deb237eb8d21f7b49d59cfa2227c01711,true
TaxiBJ P3,UrbanFM,2024,true_coarse,4a8fcc7f027e31abff9dcc0eb495cbe5e7da81edc324447f4a042b787253277e,4a8fcc7f027e31abff9dcc0eb495cbe5e7da81edc324447f4a042b787253277e,true
TaxiBJ P3,UrbanFM,2024,true_fine,5814a8cb19124e902dd337b542ea5a518f022f357ee209e9611d80489e78c1c2,5814a8cb19124e902dd337b542ea5a518f022f357ee209e9611d80489e78c1c2,true
TaxiBJ P3,UrbanFM,2025,test_coarse,1d809bd2d4d99ec4a84d9e4515cd3180126043d3dce51d3c7d8ebda6d4a9d43b,1d809bd2d4d99ec4a84d9e4515cd3180126043d3dce51d3c7d8ebda6d4a9d43b,true
TaxiBJ P3,UrbanFM,2025,true_coarse,4a8fcc7f027e31abff9dcc0eb495cbe5e7da81edc324447f4a042b787253277e,4a8fcc7f027e31abff9dcc0eb495cbe5e7da81edc324447f4a042b787253277e,true
TaxiBJ P3,UrbanFM,2025,true_fine,5814a8cb19124e902dd337b542ea5a518f022f357ee209e9611d80489e78c1c2,5814a8cb19124e902dd337b542ea5a518f022f357ee209e9611d80489e78c1c2,true
TaxiBJ P3,UrbanFM,2026,test_coarse,d8423bcd46efa3f1ba3f63623ea561b0cb040e0c49880bc427ad4d146f2490af,d8423bcd46efa3f1ba3f63623ea561b0cb040e0c49880bc427ad4d146f2490af,true
TaxiBJ P3,UrbanFM,2026,true_coarse,4a8fcc7f027e31abff9dcc0eb495cbe5e7da81edc324447f4a042b787253277e,4a8fcc7f027e31abff9dcc0eb495cbe5e7da81edc324447f4a042b787253277e,true
TaxiBJ P3,UrbanFM,2026,true_fine,5814a8cb19124e902dd337b542ea5a518f022f357ee209e9611d80489e78c1c2,5814a8cb19124e902dd337b542ea5a518f022f357ee209e9611d80489e78c1c2,true
TaxiBJ P4,UrbanFM,2024,test_coarse,cf0f507dddb6fa9361e439510124688dfacd3a4202243827c4a61eefae34eacc,cf0f507dddb6fa9361e439510124688dfacd3a4202243827c4a61eefae34eacc,true
TaxiBJ P4,UrbanFM,2024,true_coarse,f09feefd91e728223cd68b48e15d2b353fcff1c03fccd58b3b0a79b9a9d65a77,f09feefd91e728223cd68b48e15d2b353fcff1c03fccd58b3b0a79b9a9d65a77,true
TaxiBJ P4,UrbanFM,2024,true_fine,7571b9d5feaf263db0a1eff2fab8bd997f61f8f402d3c0eb39e315c71ad0cae0,7571b9d5feaf263db0a1eff2fab8bd997f61f8f402d3c0eb39e315c71ad0cae0,true
TaxiBJ P4,UrbanFM,2025,test_coarse,d0fbaccbe337a72dc36f4ab495ab6de3a062a9fe90cd31b58b2198451d7fa947,d0fbaccbe337a72dc36f4ab495ab6de3a062a9fe90cd31b58b2198451d7fa947,true
TaxiBJ P4,UrbanFM,2025,true_coarse,f09feefd91e728223cd68b48e15d2b353fcff1c03fccd58b3b0a79b9a9d65a77,f09feefd91e728223cd68b48e15d2b353fcff1c03fccd58b3b0a79b9a9d65a77,true
TaxiBJ P4,UrbanFM,2025,true_fine,7571b9d5feaf263db0a1eff2fab8bd997f61f8f402d3c0eb39e315c71ad0cae0,7571b9d5feaf263db0a1eff2fab8bd997f61f8f402d3c0eb39e315c71ad0cae0,true
TaxiBJ P4,UrbanFM,2026,test_coarse,1e467327d19bd19a2b02e8ee8b8f330c3f0657bdca449c3c390a2f6944deda1a,1e467327d19bd19a2b02e8ee8b8f330c3f0657bdca449c3c390a2f6944deda1a,true
TaxiBJ P4,UrbanFM,2026,true_coarse,f09feefd91e728223cd68b48e15d2b353fcff1c03fccd58b3b0a79b9a9d65a77,f09feefd91e728223cd68b48e15d2b353fcff1c03fccd58b3b0a79b9a9d65a77,true
TaxiBJ P4,UrbanFM,2026,true_fine,7571b9d5feaf263db0a1eff2fab8bd997f61f8f402d3c0eb39e315c71ad0cae0,7571b9d5feaf263db0a1eff2fab8bd997f61f8f402d3c0eb39e315c71ad0cae0,true
