dataset,split,file,expected_shape,reference_shape,candidate_shape,reference_dtype,candidate_dtype,reference_sha256,candidate_sha256,shape_match,dtype_match,sha256_match
TaxiBJ_P3,test,Y.npy,"(1120, 2, 32, 32)","(1120, 2, 32, 32)","(1120, 2, 32, 32)",float32,float32,c38296101a9bee78c336fb697952ea0eebd712e086846b4890febf809a56c1ed,c38296101a9bee78c336fb697952ea0eebd712e086846b4890febf809a56c1ed,true,true,true
TaxiBJ_P3,test,ext.npy,"(1120, 7)","(1120, 7)","(1120, 7)",float32,float32,9f573cbf58941d0f533c2bfc1635f00814cf7d5cbc55ce89599eafb9ff897425,9f573cbf58941d0f533c2bfc1635f00814cf7d5cbc55ce89599eafb9ff897425,true,true,true
TaxiBJ_P4,train,X.npy,"(5199, 2, 8, 8)","(5199, 2, 8, 8)","(5199, 2, 8, 8)",float32,float32,fe5869c58f83745e30aba891b772cef410cb7616e5808c9b973052bcbc7a5e6a,fe5869c58f83745e30aba891b772cef410cb7616e5808c9b973052bcbc7a5e6a,true,true,true
TaxiBJ_P4,train,Y.npy,"(5199, 2, 32, 32)","(5199, 2, 32, 32)","(5199, 2, 32, 32)",float32,float32,cd8cc2dc4fbb26864529a64c4556c177ff4e0b90ec9623074e1d14fbac1b5c7f,cd8cc2dc4fbb26864529a64c4556c177ff4e0b90ec9623074e1d14fbac1b5c7f,true,true,true
TaxiBJ_P4,train,ext.npy,"(5199, 7)","(5199, 7)","(5199, 7)",float32,float32,ce07ba32814f627ff24847592f4ffcc1f9ca9e44d8863e80d6dd5745a238b0b3,ce07ba32814f627ff24847592f4ffcc1f9ca9e44d8863e80d6dd5745a238b0b3,true,true,true
TaxiBJ_P4,valid,X.npy,"(577, 2, 8, 8)","(577, 2, 8, 8)","(577, 2, 8, 8)",float32,float32,f41b2b569aad2d5d2535542b11cc1718067cc2931f4809ba128e29f04250b3e0,f41b2b569aad2d5d2535542b11cc1718067cc2931f4809ba128e29f04250b3e0,true,true,true
TaxiBJ_P4,valid,Y.npy,"(577, 2, 32, 32)","(577, 2, 32, 32)","(577, 2, 32, 32)",float32,float32,9861510ffe3ed4c22c1afd984aef0c0498fd352f110ed32e0683e8e780ade0b8,9861510ffe3ed4c22c1afd984aef0c0498fd352f110ed32e0683e8e780ade0b8,true,true,true
TaxiBJ_P4,valid,ext.npy,"(577, 7)","(577, 7)","(577, 7)",float32,float32,7c68e55622997b629a3987dfdad59e4a0954245d2d2cfb26000f4243133ca0a0,7c68e55622997b629a3987dfdad59e4a0954245d2d2cfb26000f4243133ca0a0,true,true,true
TaxiBJ_P4,test,X.npy,"(1444, 2, 8, 8)","(1444, 2, 8, 8)","(1444, 2, 8, 8)",float32,float32,60d94a8494e7bda0f1d87e07c957da43ae146773291995f0f5de0e54f0a0d3bd,60d94a8494e7bda0f1d87e07c957da43ae146773291995f0f5de0e54f0a0d3bd,true,true,true
TaxiBJ_P4,test,Y.npy,"(1444, 2, 32, 32)","(1444, 2, 32, 32)","(1444, 2, 32, 32)",float32,float32,bb14536e4316cb4766bf8fd355345c0c994d0973c4265442be3336874f654682,bb14536e4316cb4766bf8fd355345c0c994d0973c4265442be3336874f654682,true,true,true
TaxiBJ_P4,test,ext.npy,"(1444, 7)","(1444, 7)","(1444, 7)",float32,float32,52a7f1dd8190d79a50953778a9206c4bda838c4f3c7b85d812d1b32e0fc09e3d,52a7f1dd8190d79a50953778a9206c4bda838c4f3c7b85d812d1b32e0fc09e3d,true,true,true
BikeNYC,train,X.npy,"(3162, 2, 8, 4)","(3162, 2, 8, 4)","(3162, 2, 8, 4)",float32,float32,383b079bfdc82e678b1f681ce2204f76df4f6373ee9c0aa29d359f98acb06073,383b079bfdc82e678b1f681ce2204f76df4f6373ee9c0aa29d359f98acb06073,true,true,true
BikeNYC,train,Y.npy,"(3162, 2, 16, 8)","(3162, 2, 16, 8)","(3162, 2, 16, 8)",float32,float32,0d2c59f46d7374efbd5a302cf4ecc5ef70093c61d044cef65e7a425ef7c13031,0d2c59f46d7374efbd5a302cf4ecc5ef70093c61d044cef65e7a425ef7c13031,true,true,true
BikeNYC,train,ext.npy,"(3162, 7)","(3162, 7)","(3162, 7)",float32,float32,2b09df959fe0253916a45ece6ee6ecb101b36187a8670c8a8eb3c080db88e6d4,2b09df959fe0253916a45ece6ee6ecb101b36187a8670c8a8eb3c080db88e6d4,true,true,true
BikeNYC,valid,X.npy,"(351, 2, 8, 4)","(351, 2, 8, 4)","(351, 2, 8, 4)",float32,float32,562f0ecbdca8aa103026c14791ea7f073f7c30c95a58cbcb79a2ecc5e3f0b227,562f0ecbdca8aa103026c14791ea7f073f7c30c95a58cbcb79a2ecc5e3f0b227,true,true,true
BikeNYC,valid,Y.npy,"(351, 2, 16, 8)","(351, 2, 16, 8)","(351, 2, 16, 8)",float32,float32,abd5a30af23c7b87ddd78a6352c063745460aaffdc826f541776bfd3057c30e9,abd5a30af23c7b87ddd78a6352c063745460aaffdc826f541776bfd3057c30e9,true,true,true
BikeNYC,valid,ext.npy,"(351, 7)","(351, 7)","(351, 7)",float32,float32,9e53998b336b86ad7f116063a44a1c549bb0616a3f6e0d28b34fb5dc91245fbc,9e53998b336b86ad7f116063a44a1c549bb0616a3f6e0d28b34fb5dc91245fbc,true,true,true
BikeNYC,test,X.npy,"(879, 2, 8, 4)","(879, 2, 8, 4)","(879, 2, 8, 4)",float32,float32,bd6967e416b9e63be6c56261fff673d0b03de903e460b9a9dffd78f12162a23f,bd6967e416b9e63be6c56261fff673d0b03de903e460b9a9dffd78f12162a23f,true,true,true
BikeNYC,test,Y.npy,"(879, 2, 16, 8)","(879, 2, 16, 8)","(879, 2, 16, 8)",float32,float32,06776b7bb52c289fd006e87ccf7da5f7167c9ea260fecfee9071c9920a0a04b9,06776b7bb52c289fd006e87ccf7da5f7167c9ea260fecfee9071c9920a0a04b9,true,true,true
BikeNYC,test,ext.npy,"(879, 7)","(879, 7)","(879, 7)",float32,float32,1f1c6f8e9da3a49a171870ae06e94c549a8d0e1c971e467498f113da9cfa3be5,1f1c6f8e9da3a49a171870ae06e94c549a8d0e1c971e467498f113da9cfa3be5,true,true,true
